Test Name,Accuracy,F1 Score,Significance: Accuracy,Significance: F1 Score
RF_Heist! - Tri-Training_8,0.758134513734846,0.8375458694625837,1,1
RF_Heist! - Tri-Training_12,0.9410919070896473,0.9781822467636911,1,1
RF_Heist! - SSGMM_4,4.905778943878785e-06,8.333923035776142e-06,0,0
RF_Heist! - SSGMM_8,5.13397391290494e-05,0.0015915774001636393,0,0
RF_Heist! - SSGMM_12,0.004871688139932424,0.05834605971320176,0,1
RF_Heist! - Assemble_4,0.48556042552194056,0.6582464498952493,1,1
RF_Heist! - Assemble_8,0.7831867573702241,0.9944957288534557,1,1
RF_Heist! - Assemble_12,0.6507951539626515,0.8080081325113374,1,1
RF_Heist! - SemiBoost_4,7.568286276880335e-10,3.26389308835105e-06,0,0
RF_Heist! - SemiBoost_8,0.08587701720439123,0.027463947209207733,1,0
RF_Heist! - SemiBoost_12,0.7002651501554364,0.583272962721809,1,1
NN_TopDown - Co-Training_4,0.11678261526218185,0.004555423296480717,1,0
NN_TopDown - Co-Training_8,0.6874146464068656,0.47516773907734555,1,1
NN_TopDown - Co-Training_12,0.9046563120259415,0.7552419697864229,1,1
NN_TopDown - Tri-Training_4,0.31601340990221277,0.32143347085470236,1,1
NN_TopDown - Tri-Training_8,0.5251053018179004,0.5594744403456001,1,1
NN_TopDown - Tri-Training_12,0.919871017440847,0.8816884919587993,1,1
NN_TopDown - SSGMM_4,0.00010279455110019555,0.000430685024618768,0,0
NN_TopDown - SSGMM_8,0.00010735512350073613,0.005514920707463792,0,0
NN_TopDown - SSGMM_12,0.0004477931526015246,0.017793468858876654,0,0
NN_TopDown - SemiBoost_4,7.7352446147969e-05,0.00039176749163687683,0,0
NN_TopDown - SemiBoost_8,0.3985644971947713,0.3044592082122032,1,1
NN_TopDown - SemiBoost_12,0.5256904787394876,0.5947902028021704,1,1
NN_Shootout - Co-Training_4,0.48177940514274986,0.27927655050235894,1,1
NN_Shootout - Co-Training_8,0.8588576021234009,0.7966684421057494,1,1
NN_Shootout - Co-Training_12,0.9701483136429631,0.9733574952372743,1,1
NN_Shootout - Tri-Training_4,0.5364231092391473,0.5463009009653992,1,1
NN_Shootout - Tri-Training_8,0.8800307618365004,0.8610808721211411,1,1
NN_Shootout - Tri-Training_12,0.9887084411349576,0.98838954474136,1,1
NN_Shootout - SSGMM_4,6.248600190987178e-05,5.288941290749471e-06,0,0
NN_Shootout - SSGMM_8,2.8921527061529755e-05,1.8259632744871637e-06,0,0
NN_Shootout - SSGMM_12,0.00010780373182162738,8.563413217703959e-07,0,0
NN_Shootout - SemiBoost_4,0.012671844974593253,0.00824989067480073,0,0
NN_Shootout - SemiBoost_8,0.8547219672548183,0.7770859701851468,1,1
NN_Shootout - SemiBoost_12,0.9637890203369608,0.9463422668088671,1,1
NN_Heist! - Co-Training_4,0.002758513079908427,2.0359757719832257e-09,0,0
NN_Heist! - Co-Training_8,0.851407864050948,0.1535342032224754,1,1
NN_Heist! - Co-Training_12,0.2579348309611043,0.902211054147809,1,1
NN_Heist! - Tri-Training_4,0.0404460462021894,0.06308480538701158,0,1
NN_Heist! - Tri-Training_8,0.3578095468267405,0.3024103202570651,1,1
NN_Heist! - Tri-Training_12,0.8082761679694953,0.8281414993419035,1,1
NN_Heist! - SSGMM_4,1.2456052989844586e-05,4.249917171910636e-05,0,0
NN_Heist! - SSGMM_8,0.0002642315483251933,0.0405517120387951,0,0
NN_Heist! - SSGMM_12,0.04594113244204839,0.776539389560324,0,1
NN_Heist! - SemiBoost_4,3.391587521806609e-05,0.01771485024320412,0,0
NN_Heist! - SemiBoost_8,0.7842116473202209,0.5704642026534694,1,1
NN_Heist! - SemiBoost_12,0.5717057616538488,0.525316252538891,1,1
