Test Name,Accuracy,Precision,Recall,F1 Score,Accuracy (Standard Deviation),Precision (Standard Deviation),Recall (Standard Deviation),F1 Score (Standard Deviation)
Binary Logistic Regression: AudioArousal,0.6674881516562418,0.6599696739827898,0.670130869900003,0.6650114591227179,0.03633644394072274,0.14490311030130473,0.053593691974166455,0.07943997593858719
Binary Logistic Regression: AudioValence,0.5626540284408771,0.5151630022764031,0.5693338919193074,0.5408955223912889,0.07062692457891005,0.22392889200991276,0.13367794184204781,0.1640447156852899
Binary Logistic Regression: VisualArousal,0.5647393364939616,0.48369977256438096,0.5773755656094592,0.5264026402690197,0.05139559056997444,0.19663175327017343,0.09083095483759686,0.10448690847343005
Binary Logistic Regression: VisualValence,0.4720379146814635,0.3904473085534133,0.4666968735701558,0.42518059854133233,0.05450957153556713,0.25670127141396165,0.20159703755067632,0.2101899788271684
Binary Logistic Regression: PhysArousal,0.6117535545006748,0.6057619408610838,0.6132003069898203,0.6094584286817057,0.05006176794735844,0.2101920630761199,0.058565157616594865,0.13191227540343145
Binary Logistic Regression: PhysValence,0.5526066350569718,0.6087945413063259,0.5473755964417178,0.5764536970433892,0.07101054746148089,0.2279717249976472,0.1340502943181173,0.13430779200436826
Binary Logistic Regression: AllArousal,0.6832227488088781,0.6285064442707675,0.7058322690421456,0.6649288149121013,0.06853272409583037,0.2266575124814864,0.047329890327748224,0.16012887707252366
Binary Logistic Regression: AllValence,0.5876777251120145,0.595147839259269,0.5864774000685317,0.5907808090215502,0.07864592464249039,0.24884243730759653,0.16587071036380768,0.17432615398309534
Neural Network: AudioArousal,0.6502369668239815,0.5822592873524726,0.6739798157011064,0.6247712019569888,0.057751320810290545,0.1465804272354892,0.057948141137034476,0.09127473766240353
Neural Network: AudioValence,0.5294786729810985,0.4450341167416415,0.535583941599808,0.48612836437870965,0.0741711804142667,0.2617686606431911,0.12278925043268926,0.1817966994336481
Neural Network: VisualArousal,0.5804739336465982,0.5212282031937878,0.5913978494557058,0.5541003425372345,0.05921280335265715,0.18043988259657232,0.05913245847102162,0.14186977042491283
Neural Network: VisualValence,0.48701421801988054,0.391584533746746,0.48406747892448015,0.43294216262545243,0.072189750843321,0.27587092753718867,0.2139169652029959,0.2108132511442537
Neural Network: PhysArousal,0.5463507108977181,0.4946929492058176,0.5517970401644668,0.5216869878062729,0.03956287418661374,0.24282156065322322,0.08357217146488617,0.14762467814731428
Neural Network: PhysValence,0.5338388625450878,0.5030326004416339,0.5361616161454545,0.5190690396880874,0.07547755387731596,0.2206357827187384,0.15407022996172973,0.16338684649135554
Neural Network: AllArousal,0.5994312796163022,0.525398028811696,0.6168224298983068,0.5674513817786389,0.08162030999102911,0.24845462149414893,0.05160068666669663,0.1754099007015888
Neural Network: AllValence,0.5457819905242574,0.5053070507941823,0.5499174917518553,0.5266693006718819,0.04794061522920834,0.22156050718463025,0.1772025041393856,0.18254647765790266
Random Forest: AudioArousal,0.5689099526001306,0.5064442759533982,0.5788561525056996,0.5402345329452107,0.06615139258000774,0.11489731199629157,0.04697771493896388,0.06269633170352212
Random Forest: AudioValence,0.5285308056749356,0.3802122820181206,0.5407008086066885,0.4464722902134274,0.06968798343216369,0.123206388293723,0.09185356171241264,0.11340393605043757
Random Forest: VisualArousal,0.5565876777223822,0.6899166034825243,0.5447470817093369,0.6087974577652221,0.05216301069076481,0.08609904173355093,0.0751554538441526,0.04010010919566504
Random Forest: VisualValence,0.5129857819801195,0.43404094010020483,0.5155335434352496,0.47129038895972153,0.04215541841332022,0.1671731446940151,0.1907735459966047,0.14776330368070453
Random Forest: PhysArousal,0.5986729857679596,0.5815011372122119,0.6022771888339223,0.5917068466588075,0.055440298398790534,0.15459338780962883,0.05284800041986405,0.09365195615474313
Random Forest: PhysValence,0.5708056872124565,0.5591357088762666,0.572593167710191,0.5657844265510115,0.06845581389350625,0.13039549275914789,0.1335296875559114,0.09202769074516613
Random Forest: AllArousal,0.6382938388680449,0.6637604245590975,0.6316738816883116,0.647319778193755,0.05556939871961293,0.1151289865128998,0.09104997614373674,0.047603099188314346
Random Forest: AllValence,0.5649289099517819,0.5280515542173163,0.5702005730624192,0.5483172603853704,0.04959945701448818,0.11816246747403815,0.11988753755991646,0.08232080120314957
Assemble: AudioArousalBLR4,0.67109004738895,0.7452615617768964,0.6490590954085351,0.6938415387262451,0.04297440018589256,0.0400404889119387,0.06720197671647886,0.03947539265565937
Assemble: AudioArousalBLR8,0.6606635071064658,0.700909780123961,0.6487719298241846,0.6738338192360002,0.040550452678765316,0.12729221945605215,0.05324085631522523,0.07350054614557117
Assemble: AudioArousalBLR12,0.6636966824657131,0.6743745261701075,0.6603563474351813,0.6672918229607342,0.043867570473901774,0.14725536279410037,0.05407632453304161,0.08377512432978582
Assemble: AudioArousalRF4,0.6726066350685738,0.6595905989297179,0.6773063448801449,0.6683310927546411,0.026391785128959067,0.06460593288936155,0.05447875200841337,0.0316133828876508
Assemble: AudioArousalRF8,0.667867298577549,0.6228203184193232,0.6845833333414427,0.6522429535546355,0.057894061684832125,0.12023420569066075,0.047651472271128335,0.0865171165441387
Assemble: AudioArousalRF12,0.6557345971690156,0.5788476118407083,0.6841397849596774,0.6271047228062159,0.05659479359614986,0.16029637320975867,0.07382113854202697,0.10566688053477227
Assemble: AudioValenceBLR4,0.5859715639916321,0.7191053828761148,0.5679640718639759,0.6346604215544819,0.07609851078948454,0.2696603231367599,0.08442127265451203,0.18329669148812647
Assemble: AudioValenceBLR8,0.5656872038001245,0.6546626232056658,0.5558416478986536,0.6012184508334266,0.06794333492128551,0.1899530012635381,0.10403984838581176,0.12960890599765404
Assemble: AudioValenceBLR12,0.5469194312882406,0.552312357852738,0.5465116279148275,0.549396681756501,0.07501316433629727,0.17700881020025303,0.11888151260432896,0.13036287464710966
Assemble: AudioValenceRF4,0.5236018957285521,0.4795299469301128,0.5259875259888486,0.5016855046608659,0.04733715943448467,0.15992732967828505,0.0994155518509727,0.1084276255794993
Assemble: AudioValenceRF8,0.506161137447405,0.23085670964075378,0.5139240506452172,0.31859795973152705,0.07691456060786214,0.14325819034508505,0.13542670517298563,0.1414901682965292
Assemble: AudioValenceRF12,0.5167772511877096,0.19711902957618319,0.5467928496357479,0.2897743104023975,0.08113264234957986,0.12588420461259814,0.13809816703522992,0.12791234808690827
Assemble: VisualArousalBLR4,0.5732701421811816,0.4776345716469963,0.5907172995780591,0.5281911548952593,0.04735254443739815,0.2046252536732294,0.09577642019124463,0.1345742494358341
