Test Name,Accuracy,F1 Score,Significance: Accuracy,Significance: F1 Score
BLR_Phys_Arousal - SemiBoost_8,0.0055195838930375595,0.10249726229465429,0,1
BLR_Phys_Arousal - SemiBoost_12,0.7911638643930586,0.9969838543746745,1,1
BLR_Phys_Valence - Co-Training_4,0.8385296840384003,0.020017405752056832,1,0
BLR_Phys_Valence - Co-Training_8,0.2617867394159982,0.21479230791530818,1,1
BLR_Phys_Valence - Co-Training_12,0.6001076501151262,0.5251834249245155,1,1
BLR_Phys_Valence - Tri-Training_4,0.35198602146257274,0.5348147355970311,1,1
BLR_Phys_Valence - Tri-Training_8,0.49168489036795227,0.7777790203798911,1,1
BLR_Phys_Valence - Tri-Training_12,0.8650609072581638,0.879253916964181,1,1
BLR_Phys_Valence - SSGMM_4,0.2727264805794267,0.1074300508517639,1,1
BLR_Phys_Valence - SSGMM_8,0.27349327572908483,0.09684027075532717,1,1
BLR_Phys_Valence - SSGMM_12,0.2753609009312126,0.09978428275655675,1,1
BLR_Phys_Valence - Assemble_4,0.5254351756129474,0.6943145716311994,1,1
BLR_Phys_Valence - Assemble_8,0.38058066149957925,0.4767975443038164,1,1
BLR_Phys_Valence - Assemble_12,0.839625892912842,0.8223964892354004,1,1
BLR_Phys_Valence - SemiBoost_4,0.0012600487908265695,0.01763949449167759,0,0
BLR_Phys_Valence - SemiBoost_8,0.02050363912518912,0.13844639091457467,0,1
BLR_Phys_Valence - SemiBoost_12,0.4355199180468128,0.978660843612777,1,1
BLR_All_Arousal - Co-Training_4,0.036090652559508635,0.039632066649477264,0,0
BLR_All_Arousal - Co-Training_8,0.20512141340396328,0.16449010666012198,1,1
BLR_All_Arousal - Co-Training_12,0.5710618007000046,0.703494870252339,1,1
BLR_All_Arousal - Tri-Training_4,0.6884245648702356,0.9937923397293275,1,1
BLR_All_Arousal - Tri-Training_8,0.9357538148882527,0.5863438423460352,1,1
BLR_All_Arousal - Tri-Training_12,0.8371357431380039,0.920155342566994,1,1
BLR_All_Arousal - SSGMM_4,1.6726352189966246e-05,0.6199414466931902,0,1
BLR_All_Arousal - SSGMM_8,1.6726352189966246e-05,0.6199414466931902,0,1
BLR_All_Arousal - SSGMM_12,1.6726352189966246e-05,0.6199414466931902,0,1
BLR_All_Arousal - Assemble_4,0.6615634598600537,0.8148075065841841,1,1
BLR_All_Arousal - Assemble_8,0.902899574243929,0.6337538397258422,1,1
BLR_All_Arousal - Assemble_12,0.9236297324909137,0.8830349022584427,1,1
BLR_All_Arousal - SemiBoost_4,6.401527939261647e-05,0.0661020493790183,0,1
BLR_All_Arousal - SemiBoost_8,0.01419984133994131,0.2657561944033022,0,1
BLR_All_Arousal - SemiBoost_12,0.7497768151040264,0.9227381539392114,1,1
BLR_All_Valence - Co-Training_4,0.2927336389205272,0.07874870967114045,1,1
BLR_All_Valence - Co-Training_8,0.9943142225914937,0.3491854552788215,1,1
BLR_All_Valence - Co-Training_12,0.870480012848551,0.5955893512377581,1,1
BLR_All_Valence - Tri-Training_4,0.7876566150119666,0.6003590756303748,1,1
BLR_All_Valence - Tri-Training_8,0.8557208877985291,0.9004960610705002,1,1
BLR_All_Valence - Tri-Training_12,0.9207231927998915,0.9493433039407123,1,1
BLR_All_Valence - SSGMM_4,0.08105387926322581,0.14972896176182965,1,1
BLR_All_Valence - SSGMM_8,0.08105387926322581,0.14972896176182965,1,1
BLR_All_Valence - SSGMM_12,0.08105387926322581,0.14972896176182965,1,1
BLR_All_Valence - Assemble_4,0.5579006912279837,0.574596981971591,1,1
BLR_All_Valence - Assemble_8,0.5876023173843461,0.76915153748821,1,1
BLR_All_Valence - Assemble_12,0.7494915174292648,0.9855979814678926,1,1
BLR_All_Valence - SemiBoost_4,0.0021969739223664,0.12411943256269366,0,1
BLR_All_Valence - SemiBoost_8,0.12636347652522878,0.7950583693810291,1,1
BLR_All_Valence - SemiBoost_12,0.8346033595464245,0.5729334465367613,1,1
RF_Audio_Arousal - Co-Training_4,0.26406483778249207,0.46020848227513056,1,1
RF_Audio_Arousal - Co-Training_8,0.21134641547006086,0.6378220007993303,1,1
RF_Audio_Arousal - Co-Training_12,0.030545650920656482,0.06886067621514036,0,1
RF_Audio_Arousal - Tri-Training_4,0.026923040320570486,0.0376611091443074,0,0
RF_Audio_Arousal - Tri-Training_8,0.321373333105508,0.7453514147538425,1,1
RF_Audio_Arousal - Tri-Training_12,0.7483654090761884,0.6484849010997162,1,1
RF_Audio_Arousal - SSGMM_4,0.03350166651918957,0.00026369412374918763,0,0
RF_Audio_Arousal - SSGMM_8,0.03350166651918957,0.00026369412374918763,0,0
RF_Audio_Arousal - SSGMM_12,0.03350166651918957,0.00026369412374918763,0,0
RF_Audio_Arousal - Assemble_4,0.000804875274873985,9.14275166786384e-05,0,0
RF_Audio_Arousal - Assemble_8,0.005776377655912091,0.010652731284798544,0,0
RF_Audio_Arousal - Assemble_12,0.012331307437670592,0.0928980389375619,0,1
RF_Audio_Arousal - SemiBoost_4,0.0790000888234925,0.2411414411708906,1,1
RF_Audio_Arousal - SemiBoost_8,0.21959105768560946,0.8531250939924581,1,1
RF_Audio_Arousal - SemiBoost_12,0.4041912357801557,0.2466966501776039,1,1
RF_Audio_Valence - Co-Training_4,0.6636768504620332,0.4591032962524768,1,1
RF_Audio_Valence - Co-Training_8,0.7121883960407527,0.8918172652685479,1,1
RF_Audio_Valence - Co-Training_12,0.7671197763371319,0.9312969127981093,1,1
RF_Audio_Valence - Tri-Training_4,0.9229059690263175,0.5871966079011142,1,1
RF_Audio_Valence - Tri-Training_8,0.14306313279792104,0.16047644779524325,1,1
RF_Audio_Valence - Tri-Training_12,0.08150629247698,0.09023536770132273,1,1
RF_Audio_Valence - SSGMM_4,0.5368347225759513,0.00043411099537214563,1,0
RF_Audio_Valence - SSGMM_8,0.5368347225759513,0.00043411099537214563,1,0
RF_Audio_Valence - SSGMM_12,0.5368347225759513,0.00043411099537214563,1,0
RF_Audio_Valence - Assemble_4,0.8697632020988468,0.2614768843700836,1,1
RF_Audio_Valence - Assemble_8,0.5505261699618368,0.07054054546894398,1,1
RF_Audio_Valence - Assemble_12,0.7597798118955946,0.021167043319183815,1,0
RF_Audio_Valence - SemiBoost_4,0.48572610400098337,0.5345379320425194,1,1
RF_Audio_Valence - SemiBoost_8,0.11628730671770744,0.5633198018167794,1,1
RF_Audio_Valence - SemiBoost_12,0.5241417419899784,0.9435020580119347,1,1
RF_Visual_Arousal - Co-Training_4,0.08999331750725319,0.21626306344231785,1,1
RF_Visual_Arousal - Co-Training_8,0.2733959352441533,0.6472716532951013,1,1
RF_Visual_Arousal - Co-Training_12,0.0920376497237368,0.16420829190326375,1,1
RF_Visual_Arousal - Tri-Training_4,0.08457958831350343,0.03438466879352435,1,0
RF_Visual_Arousal - Tri-Training_8,0.8202342199072784,0.1996805460801028,1,1
RF_Visual_Arousal - Tri-Training_12,0.48757099786737934,0.18467711996391578,1,1
RF_Visual_Arousal - SSGMM_4,0.04432865504582091,0.01640320877119727,0,0
RF_Visual_Arousal - SSGMM_8,0.04432865504582091,0.01640320877119727,0,0
RF_Visual_Arousal - SSGMM_12,0.047439824417446375,0.015725984817961072,0,0
RF_Visual_Arousal - Assemble_4,0.7120839604104485,0.657207955577332,1,1
RF_Visual_Arousal - Assemble_8,0.042734065561061116,0.22179263539855698,0,1
RF_Visual_Arousal - Assemble_12,0.0045430434241223,0.07768621105634357,0,1
RF_Visual_Arousal - SemiBoost_4,0.09228707484215738,0.1508325993572985,1,1
RF_Visual_Arousal - SemiBoost_8,0.003893957580550135,0.37465654462344045,0,1
RF_Visual_Arousal - SemiBoost_12,0.062239670646673295,0.3578944361981141,1,1
RF_Visual_Valence - Co-Training_4,0.20425405541639918,0.8517109328207462,1,1
RF_Visual_Valence - Co-Training_8,0.9437405989498386,0.9766205094700771,1,1
RF_Visual_Valence - Co-Training_12,0.49265812049194047,0.42258758323888856,1,1
RF_Visual_Valence - Tri-Training_4,0.7515167690971609,0.37978853170044746,1,1
RF_Visual_Valence - Tri-Training_8,0.35317292398043654,0.9557470293070205,1,1
RF_Visual_Valence - Tri-Training_12,0.48798398928415787,0.7939158802018222,1,1
RF_Visual_Valence - SSGMM_4,0.03019198544539627,0.004441348042978982,0,0
RF_Visual_Valence - SSGMM_8,0.14851157959625613,0.04885773942876787,1,0
RF_Visual_Valence - SSGMM_12,0.3532308277592845,0.37755994380653424,1,1
RF_Visual_Valence - Assemble_4,0.9388126757117038,0.7349013749166993,1,1
RF_Visual_Valence - Assemble_8,0.8881903915142688,0.4696274682392454,1,1
RF_Visual_Valence - Assemble_12,0.7270676410961762,0.3053008191832115,1,1
RF_Visual_Valence - SemiBoost_4,0.19341803556088236,0.778881119963498,1,1
RF_Visual_Valence - SemiBoost_8,0.06754732025522198,0.23813928667066592,1,1
RF_Visual_Valence - SemiBoost_12,0.5111236843897038,0.09517080632150458,1,1
RF_Phys_Arousal - Co-Training_4,0.27071459190333524,0.28677912693418534,1,1
RF_Phys_Arousal - Co-Training_8,0.25327476084230577,0.1436801345528056,1,1
RF_Phys_Arousal - Co-Training_12,0.30267209820839663,0.3066600742244948,1,1
RF_Phys_Arousal - Tri-Training_4,0.8260866886846882,0.5800652384188636,1,1
RF_Phys_Arousal - Tri-Training_8,0.653236375778057,0.5189599798367159,1,1
RF_Phys_Arousal - Tri-Training_12,0.820482530988101,0.9186399189101015,1,1
RF_Phys_Arousal - SSGMM_4,0.0019308331613526438,0.03710681003360808,0,0
RF_Phys_Arousal - SSGMM_8,0.0021082034675161893,0.03743840270704084,0,0
RF_Phys_Arousal - SSGMM_12,0.001778769182481601,0.03960382161662017,0,0
RF_Phys_Arousal - Assemble_4,0.6194862373361697,0.4461788541190421,1,1
RF_Phys_Arousal - Assemble_8,0.7767275248523894,0.7140407356037803,1,1
RF_Phys_Arousal - Assemble_12,0.8408685630574353,0.6695170347661741,1,1
RF_Phys_Arousal - SemiBoost_4,0.0033241056953735924,0.11333907982197632,0,1
RF_Phys_Arousal - SemiBoost_8,0.0008562568764298002,0.3583133766334371,0,1
RF_Phys_Arousal - SemiBoost_12,0.6695907593533748,0.672307239313917,1,1
RF_Phys_Valence - Co-Training_4,0.45194568713987215,0.024130539947520967,1,0
RF_Phys_Valence - Co-Training_8,0.8444994344483137,0.2771623460052484,1,1
RF_Phys_Valence - Co-Training_12,0.9266691207484153,0.41197070036766126,1,1
RF_Phys_Valence - Tri-Training_4,0.8286118580081563,0.957035405784286,1,1
RF_Phys_Valence - Tri-Training_8,0.8619460803424406,0.913621069639931,1,1
RF_Phys_Valence - Tri-Training_12,0.9613862101086694,0.805150898125063,1,1
RF_Phys_Valence - SSGMM_4,0.1398240487005702,0.06913132416158049,1,1
RF_Phys_Valence - SSGMM_8,0.13849335530539642,0.059238003135016266,1,1
RF_Phys_Valence - SSGMM_12,0.14081619166748388,0.062182942612392156,1,1
RF_Phys_Valence - Assemble_4,0.6570012112159145,0.7025105748669214,1,1
RF_Phys_Valence - Assemble_8,0.9847687372183869,0.6720133129414014,1,1
RF_Phys_Valence - Assemble_12,0.7230587046317734,0.8178886360808302,1,1
RF_Phys_Valence - SemiBoost_4,0.0017698148156792524,0.01627878019757287,0,0
RF_Phys_Valence - SemiBoost_8,0.12165354201068078,0.33385386571639,1,1
RF_Phys_Valence - SemiBoost_12,0.6530294342052511,0.943033967200791,1,1
RF_All_Arousal - Co-Training_4,0.17037920972496082,0.029220481564884885,1,0
RF_All_Arousal - Co-Training_8,0.3588197370712344,0.15676529317988058,1,1
RF_All_Arousal - Co-Training_12,0.15518515945274472,0.04418407977016638,1,0
RF_All_Arousal - Tri-Training_4,0.9215132508689231,0.7967221998698351,1,1
RF_All_Arousal - Tri-Training_8,0.6244222722151693,0.7064446168471397,1,1
RF_All_Arousal - Tri-Training_12,0.6857265210709941,0.9586551487908739,1,1
RF_All_Arousal - SSGMM_4,9.291810388163232e-05,0.44037146580536646,0,1
RF_All_Arousal - SSGMM_8,9.291810388163232e-05,0.44037146580536646,0,1
RF_All_Arousal - SSGMM_12,9.291810388163232e-05,0.44037146580536646,0,1
RF_All_Arousal - Assemble_4,0.4135083697007783,0.9112904875846499,1,1
RF_All_Arousal - Assemble_8,0.2717364413356782,0.9178992158832655,1,1
RF_All_Arousal - Assemble_12,0.2677563662507225,0.9980456907190081,1,1
RF_All_Arousal - SemiBoost_4,3.6670542907050027e-07,0.004997241701019007,0,0
RF_All_Arousal - SemiBoost_8,0.018078354395692754,0.13531407714068924,0,1
RF_All_Arousal - SemiBoost_12,0.7280241408354835,0.9664872093233072,1,1
RF_All_Valence - Co-Training_4,0.022562004606570825,0.002828592928143007,0,0
RF_All_Valence - Co-Training_8,0.5109113758388923,0.34392875979469695,1,1
RF_All_Valence - Co-Training_12,0.8072913644470566,0.8453760257303006,1,1
RF_All_Valence - Tri-Training_4,0.880726638686376,0.9566468690426968,1,1
RF_All_Valence - Tri-Training_8,0.4128361646663662,0.8740779338126943,1,1
RF_All_Valence - Tri-Training_12,0.7391691113459256,0.803452102371703,1,1
RF_All_Valence - SSGMM_4,0.14056897753144657,0.022710921135958,1,0
RF_All_Valence - SSGMM_8,0.14056897753144657,0.022710921135958,1,0
RF_All_Valence - SSGMM_12,0.14056897753144657,0.022710921135958,1,0
